aX,aY,aZ,gX,gY,gZ
0.07,0.588,1.06,-34.302,-29.236,22.217
0.091,0.5,1.103,-37.842,-52.612,20.752
0.065,0.436,1.156,-27.649,-57.129,14.038
0.052,0.363,1.174,-6.042,-46.204,9.155
0.051,0.332,1.119,21.24,-26.794,8.728
0.073,0.332,1.029,44.006,-8.789,10.803
0.072,0.272,0.916,52.49,2.075,14.832
0.094,0.211,0.818,47.119,5.188,18.738
0.103,0.197,0.76,34.424,0.977,22.766
0.137,0.178,0.774,17.822,-5.249,23.987
0.171,0.176,0.829,2.563,-9.583,18.677
0.178,0.151,0.909,-6.409,-8.911,7.263
0.154,0.167,0.977,-7.812,-4.089,-3.784
0.095,0.194,1.022,-5.737,-0.61,-9.399
0.072,0.198,1.027,-3.296,-1.16,-10.498
0.059,0.206,0.997,-1.099,-4.944,-9.399
0.05,0.215,0.961,0.549,-9.277,-7.446
0.042,0.193,0.9,-0.244,-12.268,-4.761
0.047,0.188,0.832,-2.38,-13.855,-2.136
0.04,0.177,0.795,-5.676,-13.367,-0.427
0.064,0.162,0.786,-10.498,-11.108,-0.793
0.055,0.149,0.804,-14.343,-7.874,-4.333
0.03,0.163,0.846,-16.785,-2.502,-9.094
0.003,0.191,0.902,-18.25,4.578,-11.353
-0.012,0.208,0.977,-17.456,11.597,-10.925
-0.009,0.228,1.034,-13.672,14.832,-8.85
-0.011,0.23,1.088,-7.08,12.512,-5.066
0.021,0.215,1.09,0.183,8.728,-0.244
0.053,0.204,1.051,6.836,4.333,5.249
0.067,0.198,0.998,10.925,-0.916,9.155
0.078,0.205,0.952,10.376,-5.371,9.705
0.065,0.197,0.918,6.714,-8.362,6.714
0.028,0.198,0.903,1.16,-8.728,2.625
-0.006,0.201,0.911,-4.822,-7.019,0
-0.022,0.209,0.949,-9.216,-4.883,-1.587
-0.025,0.216,0.993,-10.742,-2.258,-2.075
-0.031,0.227,1.034,-8.423,1.343,-1.465
-0.031,0.215,1.067,-3.296,4.395,1.099
-0.004,0.193,1.058,2.991,5.676,6.226
0.027,0.184,1.027,9.521,4.456,10.986
0.069,0.195,1.003,13.306,2.441,12.817
0.095,0.186,0.98,13.55,0.732,11.597
0.104,0.182,0.959,12.512,0,6.836
0.073,0.184,0.934,10.315,0.854,0.916
0.043,0.183,0.923,6.409,2.563,-2.93
0.024,0.193,0.923,1.587,4.15,-4.578
0.006,0.201,0.945,-2.197,6.165,-4.761
-0.004,0.204,0.969,-4.272,7.019,-3.784
0.002,0.2,0.989,-5.249,3.906,-1.526
0.032,0.19,0.993,-5.493,-1.465,1.587
0.073,0.176,0.995,-4.761,-6.226,3.662
0.094,0.164,0.993,-2.258,-8.728,2.563
0.084,0.153,0.974,1.587,-6.836,-0.305
0.066,0.167,0.952,4.944,-2.075,-3.235
0.041,0.182,0.93,5.676,2.319,-5.066
0.017,0.187,0.914,3.052,5.371,-5.31
0.003,0.195,0.923,-1.099,5.493,-4.272
-0.005,0.189,0.941,-4.272,4.395,-1.587
0.014,0.181,0.952,-5.798,4.028,2.38
0.051,0.182,0.964,-5.493,3.113,6.165
0.077,0.183,0.973,-4.028,1.282,7.935
0.078,0.175,0.99,-1.831,-1.404,7.446
0.078,0.172,0.993,1.465,-2.014,5.798
0.075,0.18,0.991,4.761,-1.709,3.906
0.06,0.195,0.976,6.409,-1.953,1.892
0.034,0.203,0.958,6.287,-3.418,0.183
0.015,0.215,0.936,3.845,-4.395,-0.183
0.001,0.219,0.925,0.366,-3.967,0.488
-0.011,0.216,0.932,-2.808,-2.93,0.916
-0.012,0.212,0.953,-4.822,-1.892,1.587
-0.006,0.216,0.979,-4.822,-1.709,2.93
0.013,0.212,1.005,-3.784,-1.221,4.517
0.054,0.19,1.018,-1.648,-0.061,6.042
0.074,0.168,1,2.319,0.916,6.042
0.073,0.169,0.98,7.812,0.61,4.272
0.06,0.164,0.947,11.047,0.549,2.258
0.051,0.169,0.919,11.353,0.061,1.587
0.044,0.178,0.901,8.606,-0.183,1.404
0.039,0.188,0.906,3.845,-1.16,1.343
0.032,0.191,0.923,-1.709,-2.014,1.16
0.028,0.19,0.937,-5.981,-2.075,1.16
0.029,0.202,0.964,-7.751,-1.526,0.854
0.027,0.198,1,-7.202,0.183,0.61
0.042,0.195,1.014,-4.15,3.235,0.854
0.05,0.195,1.017,1.099,5.676,0.977
0.049,0.193,1.007,6.409,6.775,0.977
0.052,0.193,0.987,9.033,6.348,1.831
0.054,0.196,0.957,9.277,3.174,2.686
0.046,0.178,0.919,7.385,-1.953,3.235
0.04,0.179,0.9,4.089,-5.737,3.601
0.035,0.19,0.89,0,-7.996,3.784
0.022,0.187,0.891,-3.845,-7.812,3.479
0.021,0.19,0.91,-6.104,-5.554,2.808
0.026,0.195,0.95,-7.08,-1.77,2.014
0.044,0.196,1,-6.531,3.662,1.709
0.069,0.18,1.04,-3.601,8.423,1.099
0.067,0.175,1.056,1.831,10.498,-0.671
0.054,0.18,1.047,7.812,9.46,-0.427
0.053,0.179,1.014,11.658,6.287,2.258
0.051,0.175,0.967,12.695,0.977,4.639
0.039,0.183,0.928,11.23,-4.333,5.066
0.025,0.191,0.908,6.775,-8.728,4.395
0.011,0.186,0.906,0.916,-10.437,3.418
0.01,0.187,0.917,-3.54,-9.033,2.747
0.013,0.195,0.942,-5.798,-5.798,2.319
0.023,0.203,0.969,-6.348,-2.197,2.014
0.035,0.191,0.991,-5.92,1.526,1.038
0.032,0.189,1.001,-3.723,4.578,-0.183
0.023,0.194,1.006,-0.671,5.615,-0.305
0.023,0.187,0.998,2.38,4.15,0.793
0.027,0.193,0.976,4.761,1.526,2.258
0.026,0.198,0.95,5.615,-1.648,2.869
-0.15,-1.372,1.067,-75.5,-45.41,-27.954
-0.218,-1.386,1.155,-78.796,-47.424,-34.119
-0.257,-1.427,1.202,-75.378,-49.011,-37.659
-0.272,-1.398,1.231,-64.27,-55.603,-38.879
-0.294,-1.309,1.248,-44.983,-65.552,-37.659
-0.289,-1.161,1.236,-18.921,-70.862,-32.715
-0.208,-0.929,1.177,12.695,-71.472,-24.109
-0.085,-0.582,1.044,47.424,-67.2,-10.803
0.077,-0.203,0.872,82.092,-48.523,3.723
0.158,0.104,0.77,108.704,-11.536,11.414
0.147,0.164,0.709,118.469,37.109,9.888
0.229,0.123,0.667,110.474,83.13,6.409
0.277,0.076,0.579,92.285,103.333,2.563
0.303,0.178,0.602,73.73,93.384,-0.61
0.445,0.631,0.652,60.181,72.205,6.592
0.493,1.185,0.8,50.415,55.786,19.531
0.528,1.747,0.94,33.691,45.776,22.278
0.418,2.147,1.103,7.996,28.32,8.362
0.185,1.983,1.13,-22.827,12.146,-8.789
0.021,1.661,1.096,-56.335,7.141,-20.691
-0.058,1.409,0.988,-80.627,2.197,-21.667
-0.073,1.289,0.934,-90.759,-17.151,-16.357
-0.115,1.212,0.918,-91.553,-32.288,-11.658
-0.145,1.187,0.962,-86.426,-20.813,-7.385
-0.115,1.192,1.063,-78.979,4.517,-1.038
-0.09,1.139,1.183,-71.35,20.447,3.662
-0.05,1.118,1.327,-62.256,19.531,3.784
-0.019,1.079,1.429,-49.438,5.371,-1.16
-0.071,1.032,1.445,-33.386,-13.55,-9.338
-0.147,0.942,1.35,-16.846,-26.428,-13.489
-0.216,0.847,1.184,-1.648,-28.87,-9.521
-0.285,0.704,0.994,10.559,-24.048,-1.953
-0.318,0.589,0.885,19.714,-15.32,6.042
-0.26,0.51,0.83,23.01,-6.042,16.663
-0.18,0.429,0.8,19.592,-2.93,27.283
-0.105,0.332,0.803,12.39,-5.31,35.767
-0.005,0.276,0.829,3.784,-9.094,41.565
0.078,0.21,0.873,-2.319,-11.841,40.955
0.135,0.12,0.904,-2.258,-11.353,33.569
0.151,0.097,0.897,3.906,-7.202,24.292
0.14,0.119,0.887,10.925,-1.16,15.015
0.128,0.111,0.853,13.733,6.592,7.141
0.107,0.1,0.823,11.169,10.315,0.488
0.074,0.137,0.829,5.127,8.606,-3.906
0.016,0.155,0.862,-3.052,3.54,-5.493
-0.005,0.164,0.885,-10.803,0.183,-4.883
-0.054,0.155,0.944,-14.099,-3.54,-1.709
-0.022,0.141,0.985,-13.428,-6.531,5.066
0.025,0.132,0.999,-9.583,-10.193,10.559
0.039,0.142,0.991,-2.319,-15.564,9.949
0.02,0.15,0.954,4.883,-17.395,5.249
-0.019,0.177,0.892,9.277,-13.672,-0.305
-0.087,0.198,0.836,8.85,-7.202,-5.371
-0.127,0.232,0.821,4.456,0.427,-9.521
-0.136,0.282,0.844,-3.357,8.545,-11.902
-0.15,0.32,0.884,-12.146,14.526,-13.184
-0.156,0.322,0.98,-18.921,19.165,-13.184
-0.129,0.303,1.068,-22.034,22.461,-10.437
-0.095,0.26,1.132,-18.921,21.179,-5.798
-0.038,0.219,1.14,-10.01,15.93,-1.221
-0.015,0.202,1.104,-0.305,8.24,2.136
-0.016,0.21,1.051,6.592,1.282,2.441
-0.051,0.204,0.997,9.949,-3.418,0.488
-0.086,0.217,0.949,10.986,-5.798,-0.366
-0.128,0.244,0.918,9.399,-6.165,-0.244
-0.155,0.262,0.913,5.127,-4.395,0.488
-0.161,0.248,0.926,-0.305,-2.197,1.648
-0.147,0.241,0.948,-4.272,0.732,4.272
-0.115,0.219,0.967,-5.92,3.845,7.141
-0.071,0.195,0.968,-6.104,6.592,8.85
-0.033,0.176,0.957,-5.127,9.094,8.545
-0.014,0.154,0.949,-4.15,10.559,4.211
-0.012,0.147,0.945,-3.052,11.719,-1.404
-0.027,0.143,0.934,-2.93,12.573,-5.798
-0.022,0.174,0.941,-3.723,11.597,-8.728
-0.032,0.198,0.947,-5.92,9.888,-9.949
-0.056,0.227,0.958,-8.606,7.568,-10.132
-0.098,0.248,0.993,-9.827,5.31,-8.728
-0.142,0.255,1.022,-7.69,3.906,-3.967
-0.154,0.269,1.039,-1.16,4.333,3.296
-0.135,0.275,1.043,7.385,5.676,11.23
-0.09,0.265,1.028,14.648,6.531,17.395
-0.056,0.239,0.997,19.958,7.874,19.775
-0.033,0.223,0.971,22.4,10.254,18.921
-0.023,0.217,0.946,20.691,11.414,17.212
-0.019,0.195,0.927,15.93,9.46,15.32
-0.015,0.172,0.918,10.498,4.395,13.062
-0.012,0.167,0.92,6.165,0,11.658
-0.014,0.173,0.929,2.197,-2.197,10.437
-0.011,0.173,0.946,-0.793,-3.052,8.789
0,0.173,0.965,-1.892,-2.136,6.287
-0.003,0.183,0.986,-1.526,-0.732,3.723
-0.012,0.184,0.996,-0.244,0.183,1.099
-0.029,0.188,0.991,1.953,0,0.61
-0.036,0.183,0.974,3.723,-0.488,1.587
-0.03,0.177,0.953,3.967,-0.977,3.357
-0.018,0.17,0.93,2.319,-1.343,5.432
-0.012,0.166,0.915,-0.916,-1.953,6.165
-0.002,0.17,0.913,-4.456,-1.77,4.944
0.003,0.172,0.925,-7.69,-0.61,2.502
0.008,0.173,0.946,-9.277,2.197,-0.183
0.02,0.177,0.977,-8.423,5.249,-2.625
0.02,0.176,0.997,-5.066,7.568,-4.944
0.002,0.188,1.001,-0.793,9.888,-6.287
-0.017,0.194,1.001,3.296,11.108,-5.92
-0.019,0.213,0.99,6.348,10.986,-3.418
-0.025,0.227,0.977,7.385,9.155,-0.244
-0.024,0.229,0.962,6.165,5.798,2.808
-0.009,0.226,0.955,3.235,2.441,4.883
0,0.218,0.952,-0.427,-0.366,5.92
0,0.207,0.954,-3.113,-2.014,6.042
-0.001,0.198,0.957,-4.395,-2.502,6.042
0.018,0.19,0.969,-4.333,-2.197,5.859
0.041,0.176,0.974,-3.174,-2.075,3.784
0.03,0.171,0.987,-0.427,-0.732,0.366
0.01,0.172,0.997,3.113,0.977,-0.977
0.004,0.177,0.989,6.409,1.404,0
0.001,0.186,0.974,8.301,0.61,1.587
-0.005,0.199,0.958,8.606,-1.648,2.563
-0.544,-2.542,1.238,-50.781,-72.754,19.043
-0.548,-3.122,1.232,-71.533,-96.558,24.78
-0.267,-3.336,1.118,-81.665,-107.239,22.644
0.14,-3.21,0.965,-78.125,-92.041,2.136
0.559,-2.869,0.87,-69.458,-50.903,-44.128
0.711,-2.48,0.861,-66.101,-4.883,-108.215
0.538,-2.11,0.965,-66.528,23.804,-164.856
0.319,-1.673,1.082,-54.504,40.405,-197.51
0.078,-0.927,1.216,-14.587,71.838,-193.787
-0.065,0.163,1.319,60.791,141.113,-148.682
-0.319,1.001,1.525,148.56,231.445,-59.082
-0.399,1.428,1.31,187.622,273.682,61.584
0.2,1.857,0.703,156.982,202.209,154.175
